Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_022788385.1	Branchiostoma floridae x Branchiostoma belcheri	2700040
GCA_013266295.2	Branchiostoma floridae x Branchiostoma japonicum	2700039
GCF_035083965.1	Branchiostoma lanceolatum	7740
GCA_030323885.1	Branchipolynoe longqiensis	2487007
GCA_921294245.1	Brassicogethes aeneus	1431903
GCA_947093115.1	Brenthis daphne	405032
GCA_951806755.1	Brenthis hecate	405033
GCA_921882275.1	Brenthis ino	405034
GCA_042479345.1	Brevicoryne brassicae	69196
GCF_023856365.1	Brienomyrus brachyistius	42636
GCA_964290925.1	Brintesia circe	111891
GCA_040580785.1	Brontispa longissima	111217
GCA_949316355.1	Bruchidius siliquastri	1649775
GCA_964204745.1	Bruchidius varius	256828
GCA_012070555.1	Brugia pahangi	6280
GCA_964059635.1	Bryotropha terrella	1280429
GCA_934046635.1	Buathra laborator	1419289
GCF_019923935.1	Bubalus bubalis	89462
GCF_029407905.1	Bubalus kerabau	3119969
GCA_964059595.1	Bucephala clangula	107022
GCA_009769605.1	Bucorvus abyssinicus	153643
GCA_042477495.1	Bucorvus leadbeateri	155086
GCF_023091745.1	Budorcas taxicolor	37181
GCF_905171765.1	Bufo bufo	8384
GCF_014858855.1	Bufo gargarizans	30331
GCA_033119425.1	Bufotes viridis	30338
GCA_964035545.1	Bugula neritina	10212
GCA_935421135.1	Bugulina stolonifera	192920
GCA_023653725.1	Bungarus multicinctus	8616
GCA_025436335.1	Bursaphelenchus mucronatus	6325
GCA_964188355.1	Buteo buteo	30397
GCA_954871355.1	Cabera pusaria	722659
GCA_964271255.1	Cacoecimorpha pronubana	287198
GCA_963570955.1	Caenorhabditis afra	1094335
GCA_964213925.1	Caenorhabditis angaria	860376
GCA_964036135.1	Caenorhabditis brenneri	135651
GCF_000004555.2	Caenorhabditis briggsae	6238
GCA_963572265.1	Caenorhabditis doughertyi	1094321
GCA_963572285.1	Caenorhabditis drosophilae	96641
GCF_000002985.6	Caenorhabditis elegans	6239
GCA_963572205.1	Caenorhabditis imperialis	1094324
GCA_003052745.1	Caenorhabditis inopinata	1978547
GCA_963572235.1	Caenorhabditis japonica	281687
GCA_964211945.1	Caenorhabditis kamaaina	1094325
GCA_002259235.3	Caenorhabditis latens	1503980
GCA_963932285.1	Caenorhabditis macrosperma	1094328
GCA_964197825.1	Caenorhabditis monodelphis	1094320
GCA_027920645.1	Caenorhabditis nigoni	1611254
GCA_963978915.1	Caenorhabditis parvicauda	2305859
GCA_963931815.1	Caenorhabditis plicata	281681
GCA_964198105.1	Caenorhabditis quiockensis	2305861
GCF_010183535.1	Caenorhabditis remanei	31234
GCA_963932045.1	Caenorhabditis sinica	1550068
GCA_963572245.1	Caenorhabditis sp. 8 KK-2011	1094336
GCA_963966605.1	Caenorhabditis sulstoni	2305862
GCA_043792875.1	Caenorhabditis tropicalis	1561998
GCA_963573275.1	Caenorhabditis uteleia	2305860
GCA_964036255.1	Caenorhabditis virilis	1094323
GCA_963932035.1	Caenorhabditis wallacei	1094326
GCA_963966625.1	Caenorhabditis zanzibari	2306312
